Run#,Cromwell Result,Status,Name,Tag,User,Site,Submitted,Updated
"141733","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
"141732","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
"141731","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
"141730","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
"141729","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
"141728","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
"141727","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:29"
"141726","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:29"
"141725","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:29"
"141724","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
"141723","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:29"
"141722","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:29"
"141721","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141720","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141719","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141718","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141717","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141716","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141715","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141714","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141713","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141712","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141711","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141710","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141709","n/a","ready","","","bjcole","perlmutter","10/23 09:22","10/23 09:29"
"141708","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141707","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141706","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:28"
"141705","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141704","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141703","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141702","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141701","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:28"
"141700","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141699","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141698","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141697","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141696","n/a","ready","","","bjcole","perlmutter","10/23 09:21","10/23 09:29"
"141695","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:29"
"141694","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:29"
"141693","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:29"
"141692","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:28"
"141691","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:27"
"141690","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:26"
"141689","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:26"
"141688","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:27"
"141687","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:26"
"141686","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:26"
"141685","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:26"
"141684","n/a","ready","","","bjcole","perlmutter","10/23 09:20","10/23 09:28"
"141683","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:28"
"141682","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:27"
"141681","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:27"
"141680","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:27"
"141679","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:26"
"141678","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:28"
"141677","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:28"
"141676","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:26"
"141675","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:28"
"141674","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:26"
"141673","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:28"
"141672","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:27"
"141671","n/a","ready","","","bjcole","perlmutter","10/23 09:19","10/23 09:27"
"141670","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:28"
"141669","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:27"
"141668","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:26"
"141667","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:27"
"141666","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:28"
"141665","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:27"
"141664","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:27"
"141663","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:28"
"141662","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:27"
"141661","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:28"
"141660","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:26"
"141659","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:24"
"141658","n/a","ready","","","bjcole","perlmutter","10/23 09:18","10/23 09:26"
"141657","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:23"
"141656","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141655","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141654","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141653","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141652","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141651","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141650","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141649","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:23"
"141648","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141647","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:23"
"141646","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:24"
"141645","n/a","ready","","","bjcole","perlmutter","10/23 09:17","10/23 09:23"
"141644","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:25"
"141643","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:23"
"141642","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:23"
"141641","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:23"
"141640","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:24"
"141639","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:25"
"141638","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:24"
"141637","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:25"
"141636","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:24"
"141635","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:24"
"141634","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:23"
"141633","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:24"
"141632","n/a","ready","","","bjcole","perlmutter","10/23 09:16","10/23 09:25"
"141631","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:22"
"141630","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:21"
"141629","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:21"
"141628","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:20"
"141627","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:21"
"141626","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:20"
"141625","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:22"
"141624","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:23"
"141623","n/a","ready","","","bjcole","perlmutter","10/23 09:15","10/23 09:22"
"141622","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:15","10/23 09:25"
"141621","n/a","ready","","","bjcole","perlmutter","10/23 09:14","10/23 09:21"
"141620","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:21"
"141619","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:21"
"141618","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:23"
"141617","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:21"
"141616","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:13","10/23 09:24"
"141615","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:21"
"141614","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:21"
"141613","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:21"
"141612","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:22"
"141611","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:13","10/23 09:26"
"141610","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:19"
"141609","n/a","ready","","","bjcole","perlmutter","10/23 09:13","10/23 09:20"
"141608","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:13","10/23 09:25"
"141607","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:20"
"141606","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:12","10/23 09:24"
"141605","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:18"
"141604","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:20"
"141603","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:18"
"141602","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:12","10/23 09:25"
"141601","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:18"
"141600","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:19"
"141599","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:12","10/23 09:25"
"141598","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:20"
"141597","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:19"
"141596","n/a","ready","","","bjcole","perlmutter","10/23 09:12","10/23 09:19"
"141595","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:12","10/23 09:25"
"141594","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:18"
"141593","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:11","10/23 09:24"
"141592","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:11","10/23 09:24"
"141591","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:11","10/23 09:24"
"141590","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:19"
"141589","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:19"
"141588","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:11","10/23 09:29"
"141587","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:19"
"141586","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:18"
"141585","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:19"
"141584","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:18"
"141583","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:19"
"141582","n/a","ready","","","bjcole","perlmutter","10/23 09:11","10/23 09:18"
"141581","n/a","ready","","","bjcole","perlmutter","10/23 09:10","10/23 09:17"
"141580","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:10","10/23 09:24"
"141579","n/a","ready","","","bjcole","perlmutter","10/23 09:10","10/23 09:16"
"141578","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:10","10/23 09:25"
"141577","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:10","10/23 09:25"
"141576","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:10","10/23 09:24"
"141575","n/a","ready","","","bjcole","perlmutter","10/23 09:10","10/23 09:17"
"141574","n/a","ready","","","bjcole","perlmutter","10/23 09:10","10/23 09:16"
"141573","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:10","10/23 09:26"
"141572","n/a","ready","","","bjcole","perlmutter","10/23 09:10","10/23 09:16"
"141571","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:10","10/23 09:24"
"141570","n/a","ready","","","bjcole","perlmutter","10/23 09:10","10/23 09:16"
"141569","n/a","ready","","","bjcole","perlmutter","10/23 09:10","10/23 09:16"
"141568","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:17"
"141567","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:16"
"141566","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:16"
"141565","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:17"
"141564","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:16"
"141563","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:09","10/23 09:27"
"141562","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:16"
"141561","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:17"
"141560","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:16"
"141559","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:09","10/23 09:26"
"141558","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:09","10/23 09:25"
"141557","n/a","ready","","","bjcole","perlmutter","10/23 09:09","10/23 09:17"
"141556","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:09","10/23 09:24"
"141555","n/a","ready","","","bjcole","perlmutter","10/23 09:08","10/23 09:17"
"141554","n/a","ready","","","bjcole","perlmutter","10/23 09:08","10/23 09:16"
"141553","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:08","10/23 09:25"
"141552","n/a","ready","","","bjcole","perlmutter","10/23 09:08","10/23 09:15"
"141551","n/a","ready","","","bjcole","perlmutter","10/23 09:08","10/23 09:13"
"141550","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:08","10/23 09:25"
"141549","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:08","10/23 09:24"
"141548","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:08","10/23 09:23"
"141547","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:08","10/23 09:25"
"141546","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:08","10/23 09:25"
"141545","n/a","ready","","","bjcole","perlmutter","10/23 09:07","10/23 09:14"
"141544","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:07","10/23 09:25"
"141543","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:07","10/23 09:23"
"141542","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:07","10/23 09:24"
"141541","n/a","ready","","","bjcole","perlmutter","10/23 09:07","10/23 09:13"
"141540","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:07","10/23 09:23"
"141539","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:06","10/23 09:26"
"141538","n/a","ready","","","bjcole","perlmutter","10/23 09:06","10/23 09:15"
"141537","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:06","10/23 09:25"
"141536","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:06","10/23 09:24"
"141535","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:06","10/23 09:25"
"141534","n/a","ready","","","bjcole","perlmutter","10/23 09:06","10/23 09:15"
"141533","n/a","ready","","","bjcole","perlmutter","10/23 09:06","10/23 09:13"
"141532","n/a","ready","","","bjcole","perlmutter","10/23 09:06","10/23 09:15"
"141531","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:06","10/23 09:25"
"141530","n/a","ready","","","bjcole","perlmutter","10/23 09:06","10/23 09:14"
"141529","n/a","ready","","","bjcole","perlmutter","10/23 09:06","10/23 09:13"
"141528","n/a","ready","","","bjcole","perlmutter","10/23 09:06","10/23 09:12"
"141527","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:06","10/23 09:22"
"141526","n/a","ready","","","bjcole","perlmutter","10/23 09:05","10/23 09:12"
"141525","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:22"
"141524","n/a","ready","","","bjcole","perlmutter","10/23 09:05","10/23 09:12"
"141523","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:22"
"141521","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:28"
"141520","n/a","ready","","","bjcole","perlmutter","10/23 09:05","10/23 09:12"
"141519","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:22"
"141518","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:22"
"141517","n/a","ready","","","bjcole","perlmutter","10/23 09:05","10/23 09:13"
"141516","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:25"
"141515","n/a","ready","","","bjcole","perlmutter","10/23 09:05","10/23 09:13"
"141514","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:22"
"141513","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:05","10/23 09:21"
"141512","n/a","ready","","","bjcole","perlmutter","10/23 09:04","10/23 09:12"
"141511","n/a","ready","","","bjcole","perlmutter","10/23 09:04","10/23 09:11"
"141510","n/a","ready","","","bjcole","perlmutter","10/23 09:04","10/23 09:12"
"141509","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:21"
"141508","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:24"
"141507","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:25"
"141506","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:21"
"141505","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:22"
"141504","n/a","ready","","","bjcole","perlmutter","10/23 09:04","10/23 09:12"
"141503","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:22"
"141502","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:21"
"141501","n/a","ready","","","bjcole","perlmutter","10/23 09:04","10/23 09:12"
"141500","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:04","10/23 09:21"
"141499","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:26"
"141498","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141497","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:21"
"141496","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:21"
"141495","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141494","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141493","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:12"
"141492","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141491","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141490","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:12"
"141489","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141488","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141487","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:03","10/23 09:22"
"141486","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:22"
"141485","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:21"
"141484","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:22"
"141483","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:21"
"141482","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:22"
"141481","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:13"
"141480","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:21"
"141479","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:22"
"141478","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:22"
"141477","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:22"
"141476","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:21"
"141475","n/a","ready","","","bjcole","perlmutter","10/23 09:02","10/23 09:10"
"141474","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:02","10/23 09:21"
"141473","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:01","10/23 09:12"
"141472","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:01","10/23 09:22"
"141471","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:01","10/23 09:21"
"141470","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:01","10/23 09:21"
"141469","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:01","10/23 09:21"
"141468","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:01","10/23 09:21"
"141467","n/a","queued","plant_scRNAseq_pipeline","","bjcole","perlmutter","10/23 09:01","10/23 09:21"
